Agency Name,Program Name,Populations Served,Agency Phone,Program Phone,Program Address 1,Program City,Program State,Program Zip,Program County,Program Region,Program Type Description,Program Category Description,Program Subcategory Description,Complete Address,lat,lon
Capital District Psychiatric Center,CDPC - Albany County Clinic Treatment Program,Adults,(518)549-6000,(518)447-9611x6742,75 New Scotland Avenue,Albany,NY,12208-3409,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,75 New Scotland Avenue Albany Albany NY US 12208-3409,42.6545666,-73.7797339414728
Capital District Psychiatric Center,CDPC-Children & Adolescent Services Clinic Treatment Program,Children Adolescents,(518)549-6000,(518)549-6929,75 New Scotland Avenue,Albany,NY,12208-3409,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,75 New Scotland Avenue Albany Albany NY US 12208-3409,42.6545666,-73.7797339414728
Capital District Psychiatric Center,Crisis Intervention Unit,Not Reported,(518)549-6000,(518)549-6500,75 New Scotland Avenue,Albany,NY,12208,Albany,Hudson River,Crisis  Intervention,Emergency,Crisis,75 New Scotland Avenue Albany Albany NY US 12208,42.6545666,-73.7797339414728
Capital District Psychiatric Center,Inpatient - State Psychiatric Center,Adults,(518)549-6000,(518)447-9611,75 New Scotland Avenue,Albany,NY,12208,Albany,Hudson River,State Psychiatric Center Inpatient,Inpatient,State Psychiatric Center Inpatient,75 New Scotland Avenue Albany Albany NY US 12208,42.6545666,-73.7797339414728
Capital District Psychiatric Center,Mobile Integration Team,Adults,(518)549-6000,(518)549-6000,75 New Scotland Avenue,Albany,NY,12208,Albany,Hudson River,Mobile Integration Team,Support,General Support,75 New Scotland Avenue Albany Albany NY US 12208,42.6545666,-73.7797339414728
Capital District Psychiatric Center,Mobile MH Consulting Team for CAS-C&Y,Children Adolescents,(518)549-6000,(518)447-9611x6921,75 New Scotland Avenue,Albany,NY,12208,Albany,Hudson River,Mobile Mental Health Team,Support,General Support,75 New Scotland Avenue Albany Albany NY US 12208,42.6545666,-73.7797339414728
Capital District Psychiatric Center,Skilled Nursing Facility Enhanced Support Program,Adults,(518)549-6000,(518)549-6000,75 New Scotland Ave,Albany,NY,12208,Albany,Hudson River,Nursing Home Support,Support,General Support,75 New Scotland Ave Albany Albany NY US 12208,42.6545666,-73.7797339414728
Catholic Charities Housing Office,Mercy House - Non Medicaid Care Coor,Adults,(518)459-0183,(518)459-0183,12 St. Joseph'S Terrace,Albany,NY,12210,Albany,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,12 St. Joseph'S Terrace Albany Albany NY US 12210,42.656719,-73.752369
Community Maternity Services,Community Maternity - Non-Medicaid CC,Children Adolescents,(518)482-8836,(518)482-8836,27 N. Main Avenue,Albany,NY,12203,Albany,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,27 N. Main Avenue Albany Albany NY US 12203,42.666194,-73.78739
Community Maternity Services,OMH Crisis Respite,Children Adolescents,(518)482-8836,(518)482-8836,27 N. Main Avenue,Albany,NY,12203,Albany,Hudson River,Respite Services,Support,General Support,27 N. Main Avenue Albany Albany NY US 12203,42.666194,-73.78739
Counseling Care and Services Inc.,Counseling Care and Services,Adults,(518)237-4263,(518)237-4263,405 Vliet Boulevard,Cohoes,NY,12047-2019,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,405 Vliet Boulevard Cohoes Albany NY US 12047-2019,42.7793273333333,-73.72716
Counseling Care and Services Inc.,Outreach (Children's Outreach Support),Children Adolescents,(518)237-4263,(518)237-4263,405 Vliet Boulevard,Cohoes,NY,12047-2019,Albany,Hudson River,Outreach,Support,General Support,405 Vliet Boulevard Cohoes Albany NY US 12047-2019,42.7793273333333,-73.72716
Equinox Inc.,Diversion Beds,Adults,(518)435-9931,(518)435-9931,500 Central Avenue,Albany,NY,12206,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,500 Central Avenue Albany Albany NY US 12206,42.669661,-73.778232
Equinox Inc.,Equinox Inc. - HHCM,Adults,(518)435-9931,(518)694-4426,95 Central Avenue,Albany,NY,12206,Albany,Hudson River,Health Home Care Management,Support,Care Coordination,95 Central Avenue Albany Albany NY US 12206,42.6595604236362,-73.7663811681199
Equinox Inc.,Equinox Inc. - HH NonMed CM,Adults,(518)435-9931,(518)694-4426,95 Central Avenue,Albany,NY,12206,Albany,Hudson River,Health Home Non-Medicaid Care Management,Support,Care Coordination,95 Central Avenue Albany Albany NY US 12206,42.6595604236362,-73.7663811681199
Equinox Inc.,Equinox Outpatient Clinic,Adults,(518)435-9931,(518)435-9931,500 Central Avenue,Albany,NY,12206-2213,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,500 Central Avenue Albany Albany NY US 12206-2213,42.669661,-73.778232
Equinox Inc.,Equinox PROS,Adults,(518)435-9931,(518)435-9931,500 Central Avenue,Albany,NY,12206-2213,Albany,Hudson River,Comprehensive PROS with Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,500 Central Avenue Albany Albany NY US 12206-2213,42.669661,-73.778232
Equinox Inc.,Family Support Services,Not Reported,(518)435-9931,(518)435-9931,500 Central Avenue,Albany,NY,12206-2213,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,500 Central Avenue Albany Albany NY US 12206-2213,42.669661,-73.778232
Equinox Inc.,Great Finds,Not Reported,(518)435-9931,(518)435-9931,260 Washington Avenue,Albany,NY,12210,Albany,Hudson River,Affirmative Business/Industry,Support,Vocational,260 Washington Avenue Albany Albany NY US 12210,42.657809,-73.765332
Families Together in New York State Inc.,Family Support Services,Children,(518)432-0333,(518)432-0333x12,737 Madison  Avenue,Albany,NY,12208,Albany,Hudson River,Family Support Services - Children & Family,Support,General Support,737 Madison  Avenue Albany Albany NY US 12208,42.6587682,-73.7781117492455
Families Together in New York State Inc.,Waiver Youth Peer Advocate Training,Not Reported,(518)432-0333,(518)432-0333,737 Madison Avenue,Albany,NY,12208,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,737 Madison Avenue Albany Albany NY US 12208,42.6587682,-73.7781117492455
Families Together in New York State Inc.,YOUTH POWER!,Not Reported,(518)432-0333,(518)432-0333,737 Madison Avenue,Albany,NY,12208,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,737 Madison Avenue Albany Albany NY US 12208,42.6587682,-73.7781117492455
Homeless and Travelers Aid Society,Assisted Competitive Employment,Adults,(518)463-2124,(518)463-2124x216,138 Central Avenue,Albany,NY,12206,Albany,Hudson River,Assisted Competitive Employment,Support,Vocational,138 Central Avenue Albany Albany NY US 12206,42.6606607,-73.7680977
Homeless and Travelers Aid Society,HATAS - Non-Medicaid Care Coordination,Adults,(518)463-2124,(518)463-2124x233,138 Central Avenue,Albany,NY,12206,Albany,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,138 Central Avenue Albany Albany NY US 12206,42.6606607,-73.7680977
Homeless and Travelers Aid Society,HATAS - Non Medicaid CC,Adults,(518)463-2124,(518)463-2124x227,138 Central Avenue,Albany,NY,12206,Albany,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,138 Central Avenue Albany Albany NY US 12206,42.6606607,-73.7680977
Homeless and Travelers Aid Society,Outreach,Adults,(518)463-2124,(518)463-2124x216,138 Central Avenue,Albany,NY,12206,Albany,Hudson River,Outreach,Support,General Support,138 Central Avenue Albany Albany NY US 12206,42.6606607,-73.7680977
Homeless and Travelers Aid Society,Rep Payee,Adults,(518)463-2124,(518)463-2124x227,138 Central Avenue,Albany,NY,12206,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,138 Central Avenue Albany Albany NY US 12206,42.6606607,-73.7680977
Homeless and Travelers Aid Society,Transportation,Children Adolescents Adults,(518)463-2124,(518)463-2124,138 Central Avenue,Albany,NY,12206,Albany,Hudson River,Transportation,Support,General Support,138 Central Avenue Albany Albany NY US 12206,42.6606607,-73.7680977
LaSalle School Inc.,The Counseling Center at LaSalle,Children Adolescents,(518)242-4731,(518)242-4731x225,391 Western Avenue,Albany,NY,12203-1401,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,391 Western Avenue Albany Albany NY US 12203-1401,42.676719,-73.8239477
Mental Health Empowerment Project Inc.,Albany County #2 Contract,Adults,(518)434-1393,(518)434-1393,3 Atrium Drive,Albany,NY,12205,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,3 Atrium Drive Albany Albany NY US 12205,42.688642727456,-73.7784244188417
Mental Health Empowerment Project Inc.,Albany County Contract,Adults,(518)434-1393,(518)434-1393,3 Atrium Drive,Albany,NY,12205,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,3 Atrium Drive Albany Albany NY US 12205,42.688642727456,-73.7784244188417
Mental Health Empowerment Project Inc.,Skill Building for Consumers - statewide,Adults,(518)434-1393,(518)434-1393,3 Atrium Drive,Albany,NY,12205,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,3 Atrium Drive Albany Albany NY US 12205,42.688642727456,-73.7784244188417
Mental Health Empowerment Project Inc.,Westchester OMH Contract,Adults,(518)434-1393,(518)434-1393,3 Atrium Drive,Albany,NY,12205,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,3 Atrium Drive Albany Albany NY US 12205,42.688642727456,-73.7784244188417
Mental Health Empowerment Project Inc.,Westchester OMH NYC Contract,Adults,(518)434-1393,(518)434-1393,3 Atrium Drive,Albany,NY,12205,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,3 Atrium Drive Albany Albany NY US 12205,42.688642727456,-73.7784244188417
MHA in New York State Inc.,Mental Health Association in New York State Inc.,Children Adolescents Adults,(518)434-0439x215,(518)434-0439x222,194 Washington Avenue,Albany,NY,12210,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,194 Washington Avenue Albany Albany NY US 12210,42.6563187,-73.7635429
MHA in New York State Inc.,Suicide Prevention,Not Reported,(518)434-0439x215,(518)434-0439x215,194 Washington Avenue Suite 415,Albany,NY,12210-2314,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,194 Washington Avenue Suite 415 Albany Albany NY US 12210-2314,42.656544,-73.762924
MHA in New York State Inc.,Youth Mental health First Aid,Not Reported,(518)434-0439x215,(518)434-0439,194 Washington Avenue Suite 415,Albany,NY,12210-2314,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,194 Washington Avenue Suite 415 Albany Albany NY US 12210-2314,42.656544,-73.762924
NAMI-New York State,National Alliance on Mental Illness - New York State,Not Reported,(518)462-2000,(518)462-2000x204,260 Washington Avenue,Albany,NY,12210,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,260 Washington Avenue Albany Albany NY US 12210,42.657809,-73.765332
New York Association of Psychiatric Rehabilit,Advance Directives,Not Reported,(518)436-0008,(518)436-0008,194 Washington Ave,Albany,NY,12210,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,194 Washington Ave Albany Albany NY US 12210,42.6563187,-73.7635429
New York Association of Psychiatric Rehabilit,Peer Bridger Project,Adults,(518)436-0008,(518)436-0008,194 Washington Ave,Albany,NY,12210,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,194 Washington Ave Albany Albany NY US 12210,42.6563187,-73.7635429
Parsons Child and Family Center,APT (After School Pre-Vocational Training),Not Reported,(518)426-2600,(518)426-2772,60 Academy Road,Albany,NY,12208,Albany,Hudson River,Vocational Services - Children & Family (C & F),Support,Vocational,60 Academy Road Albany Albany NY US 12208,42.650603,-73.785123
Parsons Child and Family Center,Behavioral Health Center,Children Adolescents Adults,(518)426-2600,(518)431-1650,401 New Karner Road,Albany,NY,12205-3809,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,401 New Karner Road Albany Albany NY US 12205-3809,42.733716,-73.848031
Parsons Child and Family Center,CAMT - North Country,Children Adolescents,(518)426-2600,(518)741-6099,60 Academy Road,Albany,NY,12208,Albany,Hudson River,Crisis  Intervention,Emergency,Crisis,60 Academy Road Albany Albany NY US 12208,42.650603,-73.785123
Parsons Child and Family Center,CAMT Respite Bed,Children Adolescents,(518)426-2600,(518)426-2600,60 Academy Road,Albany,NY,12208,Albany,Hudson River,Respite Services,Support,General Support,60 Academy Road Albany Albany NY US 12208,42.650603,-73.785123
Parsons Child and Family Center,Child and Adolescent Mobile Team,Children Adolescents,(518)426-2600,(518)429-2390,60 Academy Road,Albany,NY,12208,Albany,Hudson River,Crisis  Intervention,Emergency,Crisis,60 Academy Road Albany Albany NY US 12208,42.650603,-73.785123
Parsons Child and Family Center,Children's HCBS Waiver Individualized Care Coordination,Children Adolescents,(518)426-2600,(518)426-2600,60 Academy Road,Albany,NY,12208,Albany,Hudson River,Children's HCBS Waiver Individualized Care Coordination,Support,Care Coordination,60 Academy Road Albany Albany NY US 12208,42.650603,-73.785123
Parsons Child and Family Center,Families United Network,Children Adolescents Adults,(518)426-2600,(518)426-2619,60 Academy Road,Albany,NY,12208,Albany,Hudson River,Family Support Services - Children & Family,Support,General Support,60 Academy Road Albany Albany NY US 12208,42.650603,-73.785123
Parsons Child and Family Center,HCC (14 CARAT),Children Adolescents,(518)426-2600,(518)426-2600,60 Academy Road,Albany,NY,12208,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,60 Academy Road Albany Albany NY US 12208,42.650603,-73.785123
Parsons Child and Family Center,Mental Health Juvenile Justice,Adolescents,(518)426-2600,(518)438-8044x107,35 Taft Avenue,Albany,NY,12203,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,35 Taft Avenue Albany Albany NY US 12203,42.675424,-73.8224826
Parsons Child and Family Center,OMH - Family Support,Children Adolescents,(518)426-2600,(518)426-2600x2619,60 Academy Road,Albany,NY,12208,Albany,Hudson River,Family Support Services - Children & Family,Support,General Support,60 Academy Road Albany Albany NY US 12208,42.650603,-73.785123
Parsons Child and Family Center,Parsons Child and Family Adult Mobile Team,Adults,(518)426-2600,(518)426-2600,60 Academy Road,Albany,NY,12208,Albany,Hudson River,Crisis  Intervention,Emergency,Crisis,60 Academy Road Albany Albany NY US 12208,42.650603,-73.785123
Parsons Child and Family Center,Parsons Child & Family Center Day Treatment Program,Children Adolescents,(518)426-2600,(518)426-2731,60 Academy Road,Albany,NY,12208,Albany,Hudson River,Day Treatment,Outpatient,Day Treatment,60 Academy Road Albany Albany NY US 12208,42.650603,-73.785123
Parsons Child and Family Center,Parsons Child & Family Center RTF,Adolescents,(518)426-2600,(518)426-2600,60 Academy Road,Albany,NY,12208,Albany,Hudson River,Residential Treatment Facility - Children & Youth,Inpatient,Residential Treatment Facility - Children & Youth,60 Academy Road Albany Albany NY US 12208,42.650603,-73.785123
Parsons Child and Family Center,Recreation for Children & Youth - ARP,Children Adolescents,(518)426-2600,(518)426-2772,60 Academy Road,Albany,NY,12208,Albany,Hudson River,Recreation and/or Fitness,Support,General Support,60 Academy Road Albany Albany NY US 12208,42.650603,-73.785123
Parsons Child and Family Center,RTF Transition Coordinator,Adolescents,(518)426-2600,(518)426-2600,60 Academy Road,Albany,NY,12208,Albany,Hudson River,Residential Treatment Facility Transition Coordinator - Community,Support,Care Coordination,60 Academy Road Albany Albany NY US 12208,42.650603,-73.785123
Parsons Child and Family Center,Schuyler Achievement Academy - SBMH,Children Adolescents,(518)426-2600,(518)475-6718,676 Clinton Avenue,Albany,NY,12206,Albany,Hudson River,School Based Mental Health,Support,Education,676 Clinton Avenue Albany Albany NY US 12206,42.668311642342,-73.7744781877834
Parsons Child and Family Center,Sheridan Preparatory Academy - SBMH,Children Adolescents,(518)426-2600,(518)431-1650,400 Sheridan Avenue,Albany,NY,12206,Albany,Hudson River,School Based Mental Health,Support,Education,400 Sheridan Avenue Albany Albany NY US 12206,42.6616121576965,-73.7660099354129
Prevent Child Abuse New York Inc.,Parenting Education Initiative,Children,(518)445-1273,(518)445-1273,33 Elk Street,Albany,NY,12207,Albany,Hudson River,Family Support Services - Children & Family,Support,General Support,33 Elk Street Albany Albany NY US 12207,42.6539384,-73.7553720095613
Rehabilitation Support Services Inc.,ALBANY OUTREACH,Adults,(518)464-1511,(518)462-1094,761 Madison Ave,Albany,NY,12208,Albany,Hudson River,Outreach,Support,General Support,761 Madison Ave Albany Albany NY US 12208,42.6591294615385,-73.7791943846154
Rehabilitation Support Services Inc.,Albany Transportation,Adults,(518)464-1511,(518)462-1094,314 Central Avenue,Albany,NY,12206,Albany,Hudson River,Transportation,Support,General Support,314 Central Avenue Albany Albany NY US 12206,42.6651168125,-73.77301365625
Rehabilitation Support Services Inc.,Compeer Program,Adults,(518)464-1511,(518)462-1094x274,314 Central Avenue,Albany,NY,12206,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,314 Central Avenue Albany Albany NY US 12206,42.6651168125,-73.77301365625
Rehabilitation Support Services Inc.,RSS Capital District PROS,Adults,(518)464-1511,(518)462-1094,306 And 314 Central Avenue,Albany,NY,12206-2522,Albany,Hudson River,Comprehensive PROS with Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,306 And 314 Central Avenue Albany Albany NY US 12206-2522,42.6649110625,-73.77277578125
Rehabilitation Support Services Inc.,The RSS Capital District Clinic,Adults,(518)464-1511,(518)464-1511,314 Central Avenue,Albany,NY,12206-2522,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,314 Central Avenue Albany Albany NY US 12206-2522,42.6651168125,-73.77301365625
Research Foundation for Mental Hygiene,New York State Suicude Prevention Resource Center,Adolescents Adults,(518)486-1121,(518)402-1113,150 Broadway,Menands,NY,12204,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,150 Broadway Menands Albany NY US 12204,42.6873193,-73.7299626017686
Research Foundation for Mental Hygiene,On Track NY,Not Reported,(518)486-1121,(518)474-5661,150 Broadway,Menands,NY,12204,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,150 Broadway Menands Albany NY US 12204,42.6873193,-73.7299626017686
St. Anne Institute,School Program without Clinic,Children Adolescents,(518)437-6500,(518)437-6516,160 N. Main Avenue,Albany,NY,12206,Albany,Hudson River,School Based Mental Health,Support,Education,160 N. Main Avenue Albany Albany NY US 12206,42.6712571347757,-73.781966504927
St. Anne Institute,Vocational Day Services,Adolescents,(518)437-6500,(518)437-6631,160 N. Main Avenue,Albany,NY,12206-1893,Albany,Hudson River,Vocational Services - Children & Family (C & F),Support,Vocational,160 N. Main Avenue Albany Albany NY US 12206-1893,42.6712571347757,-73.781966504927
St. Catherine's Center for Children,St. Catherine's Center for Children Day Treatment Program,Children,(518)453-6700,(518)453-6710,30 North Main Avenue,Albany,NY,12203-1498,Albany,Hudson River,Day Treatment,Outpatient,Day Treatment,30 North Main Avenue Albany Albany NY US 12203-1498,42.6663209176127,-73.7869695897639
The Workshop Inc. dba Northeast Career Plann,PROS on Broadway,Adults,(518)465-5201,(518)465-5204,339 Broadway,Menands,NY,12204-2708,Albany,Hudson River,Comprehensive PROS without Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,339 Broadway Menands Albany NY US 12204-2708,42.69383685,-73.7205490645593
The Workshop Inc. dba Northeast Career Plann,School To Work - Albany,Children Adolescents,(518)465-5201,(518)438-3445,28 Colvin Avenue,Albany,NY,12206,Albany,Hudson River,Vocational Services - Children & Family (C & F),Support,Vocational,28 Colvin Avenue Albany Albany NY US 12206,42.6785006,-73.7960830990567
The Workshop Inc. dba Northeast Career Plann,School To Work - Rensselaer,Children Adolescents,(518)465-5201,(518)438-3445,28 Colvin Avenue,Albany,NY,12206,Albany,Hudson River,Vocational Services - Children & Family (C & F),Support,Vocational,28 Colvin Avenue Albany Albany NY US 12206,42.6785006,-73.7960830990567
The Workshop Inc. dba Northeast Career Plann,Supported Education - Albany County,Adults,(518)465-5201,(518)438-3445x223,28 Colvin Avenue,Albany,NY,12206-1101,Albany,Hudson River,Supported Education,Support,Education,28 Colvin Avenue Albany Albany NY US 12206-1101,42.6785006,-73.7960830990567
The Workshop Inc. dba Northeast Career Plann,Supported Education - Rensselaer County,Not Reported,(518)465-5201,(518)465-5201x271,28 Colvin Avenue,Albany,NY,12206,Albany,Hudson River,Supported Education,Support,Education,28 Colvin Avenue Albany Albany NY US 12206,42.6785006,-73.7960830990567
The Workshop Inc. dba Northeast Career Plann,TRANSFORMED BUSINESS MODEL,Adults,(518)465-5201,(518)465-5201,339 Broadway,Menands,NY,12204,Albany,Hudson River,Transitional Business Model,Support,Vocational,339 Broadway Menands Albany NY US 12204,42.69383685,-73.7205490645593
Accord Corporation,ACCORD Corporation Respite Program,Children Adolescents,Not Reported,(585)593-7256,171  South Main Street,Wellsville,NY,14895,Allegany,Western New York,Respite Services,Support,General Support,171  South Main Street Wellsville Allegany NY US 14895,42.1167617,-77.9393566
Allegany County Community Services,Advocacy,Children Adolescents Adults,(585)593-1991,(585)593-1991,45 North Broad Street,Wellsville,NY,14895,Allegany,Western New York,Advocacy/Support Services,Support,Self-Help,45 North Broad Street Wellsville Allegany NY US 14895,42.1217006,-77.9450235
Allegany County Community Services,Allegany County Community Services - HH CM,Adults,(585)593-1991,(585)593-1991,45 North Broad Street,Wellsville,NY,14895,Allegany,Western New York,Health Home Care Management,Support,Care Coordination,45 North Broad Street Wellsville Allegany NY US 14895,42.1217006,-77.9450235
Allegany County Community Services,Allegany County Community Services - HH NonMed CM,Adults,(585)593-1991,(585)593-1991,45 North Broad Street,Wellsville,NY,14895,Allegany,Western New York,Health Home Non-Medicaid Care Management,Support,Care Coordination,45 North Broad Street Wellsville Allegany NY US 14895,42.1217006,-77.9450235
Allegany County Community Services,Health  Home Care Management C&Y,Children Adolescents,(585)593-1991,(585)593-1991,45 North Broad Street,Wellsville,NY,14895,Allegany,Western New York,Health Home Care Management,Support,Care Coordination,45 North Broad Street Wellsville Allegany NY US 14895,42.1217006,-77.9450235
Allegany County Community Services,Health Home Non Medicaid Care Management C&Y,Children Adolescents,(585)593-1991,(585)593-1991,45 North Broad Street,Wellsville,NY,14895,Allegany,Western New York,Health Home Non-Medicaid Care Management,Support,Care Coordination,45 North Broad Street Wellsville Allegany NY US 14895,42.1217006,-77.9450235
Allegany County Community Services,Transition Management,Adults,(585)593-1991,(585)593-1991,45 North Broad Street,Wellsville,NY,14895,Allegany,Western New York,Transition Management Services,Support,Care Coordination,45 North Broad Street Wellsville Allegany NY US 14895,42.1217006,-77.9450235
