Row Created Date Time, Sponsor Name, Sponsor Code, Agency Name, Agency Code,Facility Name, Facility Code, Program Name, Program Code, Populations Served, Agency Phone, Program Phone,  Program Address 1, Program Address 2, Program City, Program State, Program Zip, Operating Certificate Required?, Program Tier, Operating Certificate Duration, Program County, Program Region, Program Type Description, Program Category Description, Program Subcategory Description,Location
04/27/2018 09:52:56 AM,Capital District Psychiatric Center,072099,Capital District Psychiatric Center,90200,Capital District Psychiatric Center,0024,Crisis Intervention Unit,868,,(518)549-6000,(518)549-6500,75 New Scotland Avenue,,Albany,NY,12208,N,,,Albany,Hudson River,Crisis  Intervention,Emergency,Crisis,"75 New Scotland Avenue
Albany, NY 12208
(42.652557, -73.777893)"
04/27/2018 09:52:56 AM,Capital District Psychiatric Center,072099,Capital District Psychiatric Center,90200,Capital District Psychiatric Center,0024,Inpatient - State Psychiatric Center,900,Adults,(518)549-6000,(518)447-9611,75 New Scotland Avenue,,Albany,NY,12208,N,,,Albany,Hudson River,State Psychiatric Center Inpatient,Inpatient,State Psychiatric Center Inpatient,"75 New Scotland Avenue
Albany, NY 12208
(42.652557, -73.777893)"
04/27/2018 09:52:56 AM,Capital District Psychiatric Center,072099,Capital District Psychiatric Center,90200,Capital District Psychiatric Center,0024,Jansen House,861,Adults,(518)549-6000,Not Available,,,,NY,,Y,,36,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
04/27/2018 09:52:56 AM,Capital District Psychiatric Center,072099,Capital District Psychiatric Center,90200,Capital District Psychiatric Center,0024,Mobile Integration Team,013,Adults,(518)549-6000,(518)549-6000,75 New Scotland Avenue,,Albany,NY,12208,N,,,Albany,Hudson River,Mobile Integration Team,Support,General Support,"75 New Scotland Avenue
Albany, NY 12208
(42.652557, -73.777893)"
04/27/2018 09:52:56 AM,Capital District Psychiatric Center,072099,Capital District Psychiatric Center,90200,Capital District Psychiatric Center,0024,Mobile MH Consulting Team for CAS-C&Y,132,Children Adolescents,(518)549-6000,(518)447-9611x6921,75 New Scotland Avenue,,Albany,NY,12208,N,,,Albany,Hudson River,Mobile Mental Health Team,Support,General Support,"75 New Scotland Avenue
Albany, NY 12208
(42.652557, -73.777893)"
04/27/2018 09:52:56 AM,Capital District Psychiatric Center,072099,Capital District Psychiatric Center,90200,Capital District Psychiatric Center,0024,New Scotland Residence TPP,235,Adults,(518)549-6000,Not Available,,,,NY,,Y,,36,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
04/27/2018 09:52:56 AM,Capital District Psychiatric Center,072099,Capital District Psychiatric Center,90200,Capital District Psychiatric Center,0024,Skilled Nursing Facility Enhanced Support Program,015,Adults,(518)549-6000,(518)549-6000,75 New Scotland Ave,,Albany,NY,12208,N,,,Albany,Hudson River,Nursing Home Support,Support,General Support,"75 New Scotland Ave
Albany, NY 12208
(42.652557, -73.777893)"
04/27/2018 09:52:56 AM,Catholic Charities Housing Office,656099,Catholic Charities Housing Office,25460,Catholic Charities Housing Office,8942,Mercy House - Non Medicaid Care Coor,003,Adults,(518)459-0183,(518)459-0183,12 St. Joseph'S Terrace,,Albany,NY,12210,N,,,Albany,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,"12 St Joseph'S Terrace
Albany, NY 12210
(42.657289, -73.751776)"
04/27/2018 09:52:56 AM,Community Maternity Services,879099,Community Maternity Services,42100,Community Maternity Services,7802,Community Maternity - Non-Medicaid CC,003,Children Adolescents,(518)482-8836,(518)482-8836,27 N. Main Avenue,,Albany,NY,12203,N,,,Albany,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,"27 N Main Avenue
Albany, NY 12203
(42.666158, -73.78725)"
04/27/2018 09:52:56 AM,Community Maternity Services,879099,Community Maternity Services,42100,Community Maternity Services,7802,OMH Crisis Respite,001,Children Adolescents,(518)482-8836,(518)482-8836,27 N. Main Avenue,,Albany,NY,12203,N,,,Albany,Hudson River,Respite Services,Support,General Support,"27 N Main Avenue
Albany, NY 12203
(42.666158, -73.78725)"
04/27/2018 09:52:56 AM,Counseling Care and Services Inc.,000035,Counseling Care and Services Inc.,35350,Counseling Care and Services Inc.,9113,Counseling Care and Services,471,Adults,(518)237-4263,(518)237-4263,405 Vliet Boulevard,,Cohoes,NY,12047-2019,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"405 Vliet Boulevard
Cohoes, NY 12047-2019
(42.779242, -73.727376)"
04/27/2018 09:52:56 AM,Counseling Care and Services Inc.,000035,Counseling Care and Services Inc.,35350,Counseling Care and Services Inc.,9113,Outreach (Children's Outreach Support),470,Children Adolescents,(518)237-4263,(518)237-4263,405 Vliet Boulevard,,Cohoes,NY,12047-2019,N,,,Albany,Hudson River,Outreach,Support,General Support,"405 Vliet Boulevard
Cohoes, NY 12047-2019
(42.779242, -73.727376)"
04/27/2018 09:52:56 AM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Clearview Supp Housing/PC Long Stay Albany County-Comm Svcs,631,Adults,(518)435-9931,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
04/27/2018 09:52:56 AM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Cohoes Community Residence,430,Adults,(518)435-9931,Not Available,,,,NY,,Y,1,36,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
04/27/2018 09:52:56 AM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Diversion Beds,006,Adults,(518)435-9931,(518)435-9931,500 Central Avenue,,Albany,NY,12206,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"500 Central Avenue
Albany, NY 12206
(42.669911, -73.778383)"
04/27/2018 09:52:56 AM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Equinox Apartment Program,432,Adults,(518)435-9931,Not Available,,,,NY,,Y,1,36,Albany,Hudson River,Apartment/Treatment,Residential,Treatment Program,
04/27/2018 09:52:56 AM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Equinox Inc. - HHCM,009,Adults,(518)435-9931,(518)694-4426,95 Central Avenue,Clearview Center Inc.,Albany,NY,12206,N,,,Albany,Hudson River,Health Home Care Management,Support,Care Coordination,"95 Central Avenue
Albany, NY 12206
(42.659498, -73.766491)"
04/27/2018 09:52:56 AM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Equinox Inc. - HH NonMed CM,010,Adults,(518)435-9931,(518)694-4426,95 Central Avenue,Clearview Center Inc.,Albany,NY,12206,N,,,Albany,Hudson River,Health Home Non-Medicaid Care Management,Support,Care Coordination,"95 Central Avenue
Albany, NY 12206
(42.659498, -73.766491)"
04/27/2018 09:52:56 AM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Equinox Outpatient Clinic,110,Adults,(518)435-9931,(518)435-9931,500 Central Avenue,,Albany,NY,12206-2213,Y,,36,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,"500 Central Avenue
Albany, NY 12206-2213
(42.669911, -73.778383)"
04/27/2018 09:52:56 AM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Equinox PROS,007,Adults,(518)435-9931,(518)435-9931,500 Central Avenue,,Albany,NY,12206-2213,Y,,36,Albany,Hudson River,Comprehensive PROS with Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,"500 Central Avenue
Albany, NY 12206-2213
(42.669911, -73.778383)"
04/27/2018 09:52:56 AM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Family Support Services,470,,(518)435-9931,(518)435-9931,500 Central Avenue,,Albany,NY,12206-2213,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"500 Central Avenue
Albany, NY 12206-2213
(42.669911, -73.778383)"
04/27/2018 09:52:56 AM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Great Finds,504,,(518)435-9931,(518)435-9931,260 Washington Avenue,,Albany,NY,12210,N,,,Albany,Hudson River,Affirmative Business/Industry,Support,Vocational,"260 Washington Avenue
Albany, NY 12210
(42.657848, -73.765224)"
04/27/2018 09:52:56 AM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Holt House,433,Adults,(518)435-9931,Not Available,,,,NY,,Y,1,36,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
04/27/2018 09:52:56 AM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Recovery Residence,434,Adults,(518)435-9931,Not Available,,,,NY,,Y,1,36,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
04/27/2018 09:52:56 AM,Families Together in New York State Inc.,791099,Families Together in New York State Inc.,17390,Families Together in New York State Inc.,7352,Family Support Services,001,Children,(518)432-0333,(518)432-0333x12,737 Madison  Avenue,,Albany,NY,12208,N,,,Albany,Hudson River,Family Support Services - Children & Family,Support,General Support,"737 Madison Avenue
Albany, NY 12208
(42.658535, -73.77836)"
04/27/2018 09:52:56 AM,Families Together in New York State Inc.,791099,Families Together in New York State Inc.,17390,Families Together in New York State Inc.,7352,Waiver Youth Peer Advocate Training,006,,(518)432-0333,(518)432-0333,737 Madison Avenue,,Albany,NY,12208,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"737 Madison Avenue
Albany, NY 12208
(42.658535, -73.77836)"
04/27/2018 09:52:56 AM,Families Together in New York State Inc.,791099,Families Together in New York State Inc.,17390,Families Together in New York State Inc.,7352,YOUTH POWER!,005,,(518)432-0333,(518)432-0333,737 Madison Avenue,,Albany,NY,12208,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"737 Madison Avenue
Albany, NY 12208
(42.658535, -73.77836)"
04/27/2018 09:52:56 AM,Homeless and Travelers Aid Society,631099,Homeless and Travelers Aid Society,17630,Homeless and Travelers Aid Society,8906,Assisted Competitive Employment,003,Adults,(518)463-2124,(518)463-2124x216,138 Central Avenue,,Albany,NY,12206,N,,,Albany,Hudson River,Assisted Competitive Employment,Support,Vocational,"138 Central Avenue
Albany, NY 12206
(42.660767, -73.767938)"
04/27/2018 09:52:56 AM,Homeless and Travelers Aid Society,631099,Homeless and Travelers Aid Society,17630,Homeless and Travelers Aid Society,8906,HATAS - Non-Medicaid Care Coordination,008,Adults,(518)463-2124,(518)463-2124x233,138 Central Avenue,,Albany,NY,12206,N,,,Albany,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,"138 Central Avenue
Albany, NY 12206
(42.660767, -73.767938)"
04/27/2018 09:52:56 AM,Homeless and Travelers Aid Society,631099,Homeless and Travelers Aid Society,17630,Homeless and Travelers Aid Society,8906,HATAS - Non Medicaid CC,007,Adults,(518)463-2124,(518)463-2124x227,138 Central Avenue,,Albany,NY,12206,N,,,Albany,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,"138 Central Avenue
Albany, NY 12206
(42.660767, -73.767938)"
04/27/2018 09:52:56 AM,Homeless and Travelers Aid Society,631099,Homeless and Travelers Aid Society,17630,Homeless and Travelers Aid Society,8906,HATAS Supp Hsing/STP Forensic Albany Cty - Comm Svcs,631,Adults,(518)463-2124,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
04/27/2018 09:52:56 AM,Homeless and Travelers Aid Society,631099,Homeless and Travelers Aid Society,17630,Homeless and Travelers Aid Society,8906,HATAS Supported Housing/Albany County S+C-Comm.Svcs.,630,Adults,(518)463-2124,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
04/27/2018 09:52:56 AM,Homeless and Travelers Aid Society,631099,Homeless and Travelers Aid Society,17630,Homeless and Travelers Aid Society,8906,Outreach,002,Adults,(518)463-2124,(518)463-2124x216,138 Central Avenue,,Albany,NY,12206,N,,,Albany,Hudson River,Outreach,Support,General Support,"138 Central Avenue
Albany, NY 12206
(42.660767, -73.767938)"
04/27/2018 09:52:56 AM,Homeless and Travelers Aid Society,631099,Homeless and Travelers Aid Society,17630,Homeless and Travelers Aid Society,8906,Rep Payee,006,Adults,(518)463-2124,(518)463-2124x227,138 Central Avenue,,Albany,NY,12206,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"138 Central Avenue
Albany, NY 12206
(42.660767, -73.767938)"
04/27/2018 09:52:56 AM,Homeless and Travelers Aid Society,631099,Homeless and Travelers Aid Society,17630,Homeless and Travelers Aid Society,8906,Transportation,001,Children Adolescents Adults,(518)463-2124,(518)463-2124,138 Central Avenue,,Albany,NY,12206,N,,,Albany,Hudson River,Transportation,Support,General Support,"138 Central Avenue
Albany, NY 12206
(42.660767, -73.767938)"
04/27/2018 09:52:56 AM,LaSalle School Inc.,001165,LaSalle School Inc.,12400,LaSalle School Inc.,8178,The Counseling Center at LaSalle,001,Children Adolescents,(518)242-4731,(518)242-4731x225,391 Western Avenue,,Albany,NY,12203-1401,Y,,36,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,"391 Western Avenue
Albany, NY 12203-1401
(42.663888, -73.783614)"
04/27/2018 09:52:56 AM,Mental Health Empowerment Project Inc.,800099,Mental Health Empowerment Project Inc.,27100,Mental Health Empowerment Project Inc.,7492,Albany County #2 Contract,008,Adults,(518)434-1393,(518)434-1393,3 Atrium Drive,Suite 205,Albany,NY,12205,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"3 Atrium Drive
Albany, NY 12205
(42.688905, -73.7762)"
04/27/2018 09:52:56 AM,Mental Health Empowerment Project Inc.,800099,Mental Health Empowerment Project Inc.,27100,Mental Health Empowerment Project Inc.,7492,Albany County Contract,002,Adults,(518)434-1393,(518)434-1393,3 Atrium Drive,Suite 205,Albany,NY,12205,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"3 Atrium Drive
Albany, NY 12205
(42.688905, -73.7762)"
04/27/2018 09:52:56 AM,Mental Health Empowerment Project Inc.,800099,Mental Health Empowerment Project Inc.,27100,Mental Health Empowerment Project Inc.,7492,Skill Building for Consumers - statewide,001,Adults,(518)434-1393,(518)434-1393,3 Atrium Drive,Suite 205,Albany,NY,12205,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"3 Atrium Drive
Albany, NY 12205
(42.688905, -73.7762)"
04/27/2018 09:52:56 AM,Mental Health Empowerment Project Inc.,800099,Mental Health Empowerment Project Inc.,27100,Mental Health Empowerment Project Inc.,7492,Westchester OMH Contract,010,Adults,(518)434-1393,(518)434-1393,3 Atrium Drive,Suite 205,Albany,NY,12205,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"3 Atrium Drive
Albany, NY 12205
(42.688905, -73.7762)"
04/27/2018 09:52:56 AM,Mental Health Empowerment Project Inc.,800099,Mental Health Empowerment Project Inc.,27100,Mental Health Empowerment Project Inc.,7492,Westchester OMH NYC Contract,013,Adults,(518)434-1393,(518)434-1393,3 Atrium Drive,Suite 205,Albany,NY,12205,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"3 Atrium Drive
Albany, NY 12205
(42.688905, -73.7762)"
04/27/2018 09:52:56 AM,MHA in New York State Inc.,789099,MHA in New York State Inc.,11630,MHA in New York State Inc.,7345,Mental Health Association in New York State Inc.,001,Children Adolescents Adults,(518)434-0439x215,(518)434-0439x222,194 Washington Avenue,Suite 415,Albany,NY,12210,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"194 Washington Avenue
Albany, NY 12210
(42.65663, -73.76309)"
04/27/2018 09:52:56 AM,MHA in New York State Inc.,789099,MHA in New York State Inc.,11630,MHA in New York State Inc.,7345,Suicide Prevention,002,,(518)434-0439x215,(518)434-0439x215,194 Washington Avenue Suite 415,,Albany,NY,12210-2314,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"194 Washington Avenue
Albany, NY 12210-2314
(42.65663, -73.76309)"
04/27/2018 09:52:56 AM,MHA in New York State Inc.,789099,MHA in New York State Inc.,11630,MHA in New York State Inc.,7345,Youth Mental health First Aid,004,,(518)434-0439x215,(518)434-0439,194 Washington Avenue Suite 415,,Albany,NY,12210-2314,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"194 Washington Avenue
Albany, NY 12210-2314
(42.65663, -73.76309)"
04/27/2018 09:52:56 AM,NAMI-New York State,281099,NAMI-New York State,12660,NAMI-New York State,9004,National Alliance on Mental Illness - New York State,001,,(518)462-2000,(518)462-2000x204,260 Washington Avenue,,Albany,NY,12210,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"260 Washington Avenue
Albany, NY 12210
(42.657848, -73.765224)"
04/27/2018 09:52:56 AM,New York Association of Psychiatric Rehabilitation Services,000095,New York Association of Psychiatric Rehabilit,25690,New York Association of Psychiatric Rehabilit,8951,Advance Directives,001,,(518)436-0008,(518)436-0008,194 Washington Ave,Suite 400,Albany,NY,12210,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"194 Washington Ave
Albany, NY 12210
(42.65663, -73.76309)"
04/27/2018 09:52:56 AM,New York Association of Psychiatric Rehabilitation Services,000095,New York Association of Psychiatric Rehabilit,25690,New York Association of Psychiatric Rehabilit,8951,Peer Bridger Project,002,Adults,(518)436-0008,(518)436-0008,194 Washington Ave,Suite 400,Albany,NY,12210,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"194 Washington Ave
Albany, NY 12210
(42.65663, -73.76309)"
04/27/2018 09:52:56 AM,Northern Rivers Family Services Inc.,452099,Parsons Child and Family Center,40400,Parsons Child and Family Center,6223,APT (After School Pre-Vocational Training),420,,(518)426-2600,(518)426-2772,60 Academy Road,,Albany,NY,12208,N,,,Albany,Hudson River,Vocational Services - Children & Family (C & F),Support,Vocational,"60 Academy Road
Albany, NY 12208
(42.649281, -73.78536)"
04/27/2018 09:52:56 AM,Northern Rivers Family Services Inc.,452099,Parsons Child and Family Center,40400,Parsons Child and Family Center,6223,Behavioral Health Center,100,Children Adolescents Adults,(518)426-2600,(518)431-1650,401 New Karner Road,,Albany,NY,12205-3809,Y,,36,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,"401 New Karner Road
Albany, NY 12205-3809
(42.734006, -73.847935)"
04/27/2018 09:52:56 AM,Northern Rivers Family Services Inc.,452099,Parsons Child and Family Center,40400,Parsons Child and Family Center,6223,CAMT - North Country,033,Children Adolescents,(518)426-2600,(518)741-6099,60 Academy Road,,Albany,NY,12208,N,,,Albany,Hudson River,Crisis  Intervention,Emergency,Crisis,"60 Academy Road
Albany, NY 12208
(42.649281, -73.78536)"
