Agency Name,Program Name,Populations Served,Agency Phone,Program Phone,Program Address 1,Program City,Program State,Program Zip,Program County,Program Region,Program Type Description,Program Category Description,Program Subcategory Description,Complete Address,lat,lon
Rehabilitation Support Services Inc.,RSS - Supported Housing/Medically Enhanced Albany - CommSvcs,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Supported Housing MRT SH Albany County - Comm. Svcs,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Vliet Street Community Residence,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Western Avenue Residence,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,Western Turnpike Community Residence,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Allegany Rehabilitation Associates Inc.,Allegany Rehabilitation Associates - HH CM,Adults,(585)593-5700,(585)593-6300,4220 State Route 417w,Wellsville,NY,14895,Allegany,Western New York,Health Home Care Management,Support,Care Coordination,4220 State Route 417w Wellsville Allegany NY US 14895,"NA","NA"
Allegany Rehabilitation Associates Inc.,Allegany Rehabilitation Associates - HH Non-Med CM,Children Adolescents Adults,(585)593-5700,(585)593-6300,4220 State Route 417w,Wellsville,NY,14895,Allegany,Western New York,Health Home Non-Medicaid Care Management,Support,Care Coordination,4220 State Route 417w Wellsville Allegany NY US 14895,"NA","NA"
Allegany Rehabilitation Associates Inc.,Health  Home Care Management C&Y,Children Adolescents,(585)593-5700,(585)593-6300,4220 State Route 417w,Wellsville,NY,14895,Allegany,Western New York,Health Home Care Management,Support,Care Coordination,4220 State Route 417w Wellsville Allegany NY US 14895,"NA","NA"
Allegany Rehabilitation Associates Inc.,Health Home C&Y Non Medicaid Care Management,Children Adolescents,(585)593-5700,(585)593-6300,4220 State Route 417w,Wellsville,NY,14895,Allegany,Western New York,Health Home Non-Medicaid Care Management,Support,Care Coordination,4220 State Route 417w Wellsville Allegany NY US 14895,"NA","NA"
Allegany Rehabilitation Associates Inc.,Intensive Intervention Services,Adults,(585)593-5700,(585)593-6300,4220 State Route 417 W,Wellsville,NY,14895,Allegany,Western New York,Outreach,Support,General Support,4220 State Route 417 W Wellsville Allegany NY US 14895,"NA","NA"
Allegany Rehabilitation Associates Inc.,Non-Inpatient Crisis Hotline,Not Reported,(585)593-5700,(585)593-6300x247,4220 State Route 417w,Wellsville,NY,14895-1223,Allegany,Western New York,Advocacy/Support Services,Support,Self-Help,4220 State Route 417w Wellsville Allegany NY US 14895-1223,"NA","NA"
Allegany Rehabilitation Associates Inc.,TCC - Senior Outreach,Adults,(585)593-5700,(585)593-6300x247,4220 State Route 417w,Wellsville,NY,14895-1223,Allegany,Western New York,Advocacy/Support Services,Support,Self-Help,4220 State Route 417w Wellsville Allegany NY US 14895-1223,"NA","NA"
Allegany Rehabilitation Associates Inc.,The Counseling Center,Children Adolescents Adults,(585)593-5700,(585)593-6300x247,4220 State Route 417w,Wellsville,NY,14895-9332,Allegany,Western New York,Clinic Treatment,Outpatient,Clinic Treatment,4220 State Route 417w Wellsville Allegany NY US 14895-9332,"NA","NA"
Elmira Psychiatric Center,Elmira PC Allegany - HHCM,Adults,(607)737-4711,(585)593-1991,45 Broad Street,Wellsville,NY,14895,Allegany,Western New York,Health Home Care Management,Support,Care Coordination,45 Broad Street Wellsville Allegany NY US 14895,"NA","NA"
Finger Lakes Parent Network Inc.,Finger Lakes Parent Network - Allegany,Children Adolescents Adults,(607)776-2164,(607)776-2164,25 West Steuben Street,Bath,NY,14810,Allegany,Western New York,Family Support Services - Children & Family,Support,General Support,25 West Steuben Street Bath Allegany NY US 14810,"NA","NA"
Housing Options Made Easy Inc.,Housing Options Supported Housing/Allegany - Comm. Svcs,Adults,(716)532-5508,Not Available,Not Reported,Not Reported,NY,Not Reported,Allegany,Western New York,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Allegany NY US Not Reported,"NA","NA"
SCAP Inc./dba Arbor Development,SCAP Supp Housing/RCE SH Allegany Cty - Comm Svcs,Adults,(607)654-7487x2027,Not Available,Not Reported,Not Reported,NY,Not Reported,Allegany,Western New York,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Allegany NY US Not Reported,"NA","NA"
SCAP Inc./dba Arbor Development,SCAP Supp Hsing/Transformation SH Allegany Cty - Comm Svcs,Adults,(607)654-7487x2027,Not Available,Not Reported,Not Reported,NY,Not Reported,Allegany,Western New York,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Allegany NY US Not Reported,"NA","NA"
SCAP Inc./dba Arbor Development,SCAP Supported Housing/Allegany Co. - Comm. Svcs,Adults,(607)654-7487x2027,Not Available,Not Reported,Not Reported,NY,Not Reported,Allegany,Western New York,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Allegany NY US Not Reported,"NA","NA"
Southern Tier Environments for Living Inc.,STEL Wellsville Residence,Adults,(716)366-3200,Not Available,Not Reported,Not Reported,NY,Not Reported,Allegany,Western New York,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Allegany NY US Not Reported,"NA","NA"
163rd Street Improvement Council,Flossie Wilson Apartments,Adults,(718)620-6007,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,SRO Community Residence,Residential,Treatment Program,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
ACMH Inc.,ACMH Ana's House SP/SRO,Adults,(212)274-8558,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
ACMH Inc.,ACMH Bronx Supported Housing-Comm.Svcs,Adults,(212)274-8558,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
ACMH Inc.,ACMH Crotona Avenue SP/SRO,Adults,(212)274-8558,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
ACMH Inc.,ACMH E. 144th Street SP/SRO,Adults,(212)274-8558,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Astor Services for Children & Families,Health  Home Care Management C&Y,Children Adolescents,(845)871-1000,(845)616-5289,13 Mr. Carmel Place,Poughkeepsie,NY,12601,Bronx,New York City,Health Home Care Management,Support,Care Coordination,13 Mr. Carmel Place Poughkeepsie Bronx NY US 12601,"NA","NA"
Baltic Street AEH Inc.,Bronx Peer Advocacy,Adults,(718)833-5929,(718)562-6712,369 E. 148 Street Lower Level,Bronx,NY,10455,Bronx,New York City,Advocacy/Support Services,Support,Self-Help,369 E. 148 Street Lower Level Bronx Bronx NY US 10455,"NA","NA"
Baltic Street AEH Inc.,Homeworks Supported Housing/Bronx-Comm.Svcs.,Adults,(718)833-5929,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Barrier-Free Living Inc.,BFL East 139th Street SP/SRO,Adults,(212)677-6668,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Bronx Addiction Svcs Integrated Concepts Syst,BASICS Supported Housing/Bronx - Comm Svcs,Adults,(718)861-5650,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Bowery Residents' Committee Inc.,BRC NYC DMH NY/NY I - Scattered Site SROs - Bronx,Adults,(212)803-5700,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Bowery Residents' Committee Inc.,BRC Supported Housing/Bronx I - Comm. Svcs,Adults,(212)803-5700,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Bowery Residents' Committee Inc.,BRC Supported Housing/Bronx II - Comm. Svcs,Adults,(212)803-5700,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Bowery Residents' Committee Inc.,BRC Supported Housing/NYNY III Bronx - Comm. Svcs,Adults,(212)803-5700,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Bowery Residents' Committee Inc.,BRC Supported Housing/PC Long Stay Bronx - Comm. Svcs,Adults,(212)803-5700,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Bronx Psychiatric Center,Bronx Transitional Living Residence I,Adults,(718)931-0600,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Bronx Psychiatric Center,Bronx Transitional Living Residence II,Adults,(718)931-0600,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Bronx Psychiatric Center,Crisis Residance,Adults,(718)931-0600,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Crisis/Respite Beds,Emergency,Crisis,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Bronxworks Inc.,The Brook,Adults,(646)393-4000,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
CAMBA Inc.,CAMBA Citywide Supportive Housing - Comm Svcs,Adults,(718)287-2600,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
CAMBA Inc.,CAMBA Highbridge Overlook SP/SRO,Adults,(718)287-2600,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Catholic Charities Commun Serv/Archdiocese NY,Beacon of Hope #4,Adults,(212)371-1000,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Catholic Charities Commun Serv/Archdiocese NY,Beacon of Hope Bronx House I,Adults,(212)371-1000,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Catholic Charities Commun Serv/Archdiocese NY,Beacon of Hope Bronx House II,Adults,(212)371-1000,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Catholic Charities Commun Serv/Archdiocese NY,Beacon of Hope Bronx House III,Adults,(212)371-1000,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Catholic Charities Commun Serv/Archdiocese NY,Beacon of Hope Cardinal Cooke Residence,Adults,(212)371-1000,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Catholic Charities Commun Serv/Archdiocese NY,Beacon of Hope House-SH/Bronx County-Comm. Svcs.,Adults,(212)371-1000,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Catholic Charities Commun Serv/Archdiocese NY,Beacon of Hope House-SH/Bronx NY/NY-Comm. Svcs.,Adults,(212)371-1000,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Center for Urban Community Services Inc.,Arthur Avenue Residences/The Sydelle,Adults,(212)801-3300,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Center for Urban Community Services Inc.,Park House SP/SRO,Adults,(212)801-3300,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Community Access Inc.,3rd Avenue La Casa,Adults,(212)780-1400,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Community Access Inc.,Cedar Avenue,Adults,(212)780-1400,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Community Access Inc.,Comm Access NYC DMH - Franklin Avenue SRO,Adults,(212)780-1400,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Community Access Inc.,Comm Access NYC DMH - Rev. James A. Polite SRO,Adults,(212)780-1400,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Community Access Inc.,Comm Access NYC DMH - Tinton Avenue SRO,Adults,(212)780-1400,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Community Access Inc.,Davidson Avenue,Adults,(212)780-1400,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Community Access Inc.,Vyse Avenue SRO/CR,Adults,(212)780-1400,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,SRO Community Residence,Residential,Treatment Program,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Community Action for Human Services Inc.,Crotona Park West - Paige Apartments,Adults,(718)655-7700,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,SRO Community Residence,Residential,Treatment Program,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
ComuniLife Inc.,ComuniLife Burnside Walton SPSRO,Adults,(212)219-1618,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
ComuniLife Inc.,Comunilife El Rio SP/SRO,Adults,(212)219-1618,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
ComuniLife Inc.,ComuniLife Supported Housing/Adult Homes - Community Svcs,Adults,(212)219-1618,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
ComuniLife Inc.,ComuniLife Supported Housing/Bronx - Community Services,Adults,(212)219-1618,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
ComuniLife Inc.,ComuniLife Supported Housing/Bronx - NY/NY III - Comm. Svcs.,Adults,(212)219-1618,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Concern for Independent Living Inc.,Norwood Terrace,Adults,(631)758-0474,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
Fountain House Inc.,Fountain House Supported Housing/Bronx - Comm. Svcs,Adults,(212)582-0340,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
GEEL Community Services Inc.,GEEL Apartment Treatment Program,Adults,(718)367-1900,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Apartment/Treatment,Residential,Treatment Program,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
GEEL Community Services Inc.,GEEL Community Union Avenue - HDFC,Adults,(718)367-1900,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
GEEL Community Services Inc.,GEEL East 162nd Street HDFC Supported SRO,Adults,(718)367-1900,Not Available,Not Reported,Not Reported,NY,Not Reported,Bronx,New York City,Supported/Single Room Occupancy (SRO),Residential,Unlicensed Housing,Not Reported Not Reported Bronx NY US Not Reported,"NA","NA"
